identifier;source volume(M.m3/year)
Facility complex #RH400012D;5188.631
Plant #AR200732A;247.292
Plant #BX300148I;7480.878
Module #XW101109P;72.146
Module #WE100495Z;38.756
Module #FO100392W;101.331
Plant #IC200775U;1086.96
Unit #SA000884Y;2.269
Module #NF100780D;101.179
Plant #LW200062K;759.813
Plant #TF200439B;794.341
Plant #IH200022B;494.647
Plant #MM300141R;4947.067
Module #ZI100702I;85.862
Module #ZO100301W;42.726
Unit #OZ001027Q;5.952
Module #LZ100050B;90.265
Module #CS100403L;29.259
Plant #HV200570H;273.602
Plant #LS200003A;199.774
Plant #PK200463F;1035.248
Plant #MW200301P;1026.743
Plant #RG300219I;3252.167
Plant #LA200454O;370.945
Unit #SB000029D;6.416
Module #AM100967D;70.953
Plant #JE300144Z;5487.824
Plant #PW200394O;772.433
Unit #TD001104I;3.866
Plant #TH200644P;768.465
Unit #HA001088V;5.413
Plant #IB300098C;228.497
Facility complex #WL400010G;5330.754
Module #TK101010A;15.809
Module #TP100052M;83.675
Module #OA100299Q;93.67
Plant #LN300043Q;1078.04
Unit #YL000115P;0.716
Plant #PY200012R;178.096
Plant #MM200235V;569.972
Plant #TJ200072E;111.002
Module #CK100243V;36.914
Plant #ED200277O;201.421
Module #TU100750D;47.772
Plant #EX300194G;4873.259
Unit #HW000673N;10.385
Module #PQ100498Z;38.628
Module #FT101050L;94.694
Module #GH100692E;35.281
Plant #TH200789Y;851.892
Unit #SM000344Q;2.489
Module #CA100439C;85.894
Plant #EX200807F;1028.203
Plant #FP200403M;697.309
Unit #QM000849Q;2.367
Module #CM100418M;20.308
Unit #JG001033S;3.818
Plant #FD200566Q;947.202
Plant #JY200674A;854.758
Module #DL100091O;97.682
Plant #DV200446H;453.928
Module #LA101201S;101.482
Module #EO100837L;75.259
Facility complex #AA400066H;6152.247
Plant #QR200493F;897.117
Module #AS100536D;89.174
Plant #LJ300109V;1762.722
Facility complex #CZ400038O;8632.353
Module #ZB101129I;92.898
Plant #YG300206Z;3085.345
Facility complex #ZW400060A;1981.105
Unit #TQ000660F;8.201
Plant #AP200617G;879.129
Plant #UD300284T;694.6
Module #FS101231N;77.551
Plant #PO300174W;2012.519
Plant #LE200155M;257.074
Plant #ET300271B;1693.445
Unit #BD000655Y;2.704
Plant #NY300263X;307.208
Module #UB100142L;14.403
Plant #PG200568F;588.71
Plant #TF300025M;5535.448
Unit #EO000101J;0.92
Module #XA101015X;39.997
Module #XR101091H;65.633
Plant #HN300275E;1298.73
Plant #HY200374H;881.049
Plant #QQ200659M;1084.162
Module #FB100653J;92.96
Plant #SL200382Z;569.871
Module #DW100602M;100.163
Plant #AI200596A;1081.548
Unit #IK001078R;3.55
Plant #PP300256B;42.673
Unit #NZ000487A;4.3
Plant #CY200565Q;421.966
Module #PB100850M;98.441
Module #GT100277S;102.329
Plant #YP200437I;664.369
Plant #RP200786D;426.197
Plant #PV200355R;82.195
Module #AB100651T;99.831
Plant #HV300293K;2196.812
Plant #QD300197F;967.029
Module #GH100801T;76.669
Module #CW101061W;6.621
Module #LO100131S;72.823
Plant #SU200308O;978.929
Unit #IO001075Z;10.198
Module #IT100041S;109.572
Facility complex #HF400018H;9924.198
Plant #JC200303V;704.471
Module #WV100947H;77.626
Module #MN100779I;86.364
Facility complex #TV400020S;1410.234
Unit #FS001238J;6.515
Plant #KH200821G;125.926
Plant #TM200705U;867.12
Plant #EB300307Z;545.679
Facility complex #XA400003F;14706.833
Plant #UY200600I;658.005
Plant #OD200624U;126.607
Unit #NR000563I;4.352
Unit #FK000409U;0.848
Module #DA100086I;54.429
Unit #AI001505C;3.261
Plant #MK200165V;237.821
Plant #PQ300207K;4989.255
Plant #YE200051C;787.613
Unit #VK000293X;7.066
Module #PN100038S;67.488
Module #PX100686L;101.29
Plant #HG300008M;5933.794
Plant #CU200716S;796.348
Plant #WJ200487T;813.894
Plant #VA200571B;990.853
Plant #IB200082U;950.953
Module #RE100365P;38.839
Plant #SX200148I;597.918
Unit #NI000196D;3.443
Plant #IY200284E;846.172
Plant #UL200115R;969.8
Unit #IC000045M;6.027
Plant #II200683P;920.569
Unit #ZK001444K;6.71
Plant #KZ300121D;2742.938
Plant #NO200606R;143.724
Module #JJ100499Q;88.406
Plant #LD200262J;1031.597
Module #VA100008J;98.416
Unit #AK001462Y;5.399
Module #EB100256G;96.346
Unit #IZ000600O;4.289
Unit #AH001005J;6.182
Module #AT100249Y;64.293
Module #MK100441A;76.039
Plant #IC200331H;294.323
Unit #PJ000906T;3.703
Module #PF100407E;91.926
Unit #CK001310I;1.062
Module #DB100186X;95.066
Plant #KV300200U;1585.581
Plant #FO300085H;7400.105
Module #KE100330V;102.73
Module #UP100899V;88.626
Module #AW100084T;104.264
Module #PP100638L;61.859
Plant #DD200052X;918.176
Plant #NW200643D;1045.951
Module #GA100828L;26.634
Plant #AM200700B;222.692
Facility complex #LB400076L;2422.236
Plant #CX200500N;402.187
Module #NC100873L;98.848
Plant #PS300124F;593.213
Plant #IO200415Z;1035.332
Plant #CJ200248B;795.065
Module #PG100826A;102.323
Unit #SJ000890S;2.907
Unit #FE001519E;1.083
Plant #SG200320U;330.772
Module #TW100135R;100.03
Plant #SQ300225U;5742.351
Plant #KI200327D;836.81
Unit #UE000659C;3.078
Plant #DB200004K;457.841
Module #SK100308F;72.001
Plant #JR200018P;694.475
Plant #DG300261L;1038.651
Plant #PJ200610R;268.923
Plant #RB200195D;753.081
Plant #GD200757J;908.948
Plant #UK200772U;458.866
Plant #MT200800V;825.292
Facility complex #TS400081U;4687.169
Module #XL100241J;59.336
Plant #KS200078S;214.829
Plant #BE200206B;942.007
Module #XC100621X;39.495
Plant #PD200134E;537.632
Unit #LN000208Z;9.385
Plant #FM200323H;281.638
Plant #KW300231L;5382.123
Plant #SP200149K;202.165
Facility complex #VW400006S;6215.412
Plant #EG200328Y;938.472
Unit #YZ001113P;4.073
Plant #WN200693Y;488.146
Plant #OO300238N;5357.921
Plant #TT200140B;247.305
Plant #PE300060N;1322.629
Unit #RY001431L;2.352
Module #ER100940G;66.604
Module #NI100518T;100.752
Module #UR100521Q;94.977
Plant #OB300288E;4923.336
Plant #SL200369Y;593.914
Plant #LA200642J;1062.854
Module #KK100881X;97.776
Plant #BG200602N;197.834
Module #IJ100835G;74.372
Module #AB100295M;102.448
Module #TY100973S;92.529
Module #VT100360C;72.779
Module #UQ100783V;103.681
Unit #UI000076H;10.079
Plant #HM200722Y;1010.453
Module #KS100423F;100.185
Module #WY100868C;86.424
Module #HE100169A;73.419
Module #JJ100762N;67.972
Module #QI100848C;103.817
Unit #YQ001129B;5.576
Facility complex #DN400039J;5585.317
Plant #XF200360Z;374.698
Unit #SF000687Y;5.318
Plant #PI300156H;1619.438
Plant #EB200136R;613.087
Plant #RH200545F;456.683
Module #EQ100725V;51.107
Plant #CH300289Q;4671.445
Plant #WG300033E;630.948
Module #FK100271T;101.153
Plant #WP300143S;3529.681
Unit #VD000264G;0.777
Module #NM100764Y;16.075
Plant #VS200141F;1088.641
Module #AN101170S;38.977
Unit #SG001026J;5.367
Facility complex #WV400000Y;6306.826
Module #WS100856P;94.659
Plant #PI300010Y;5238.93
Plant #HX300068H;2656.676
Plant #IJ200071C;617.359
Unit #ET000887C;3.228
Plant #NS300291P;7167.941
Module #PZ100822A;69.615
Module #OC100328W;67.887
Plant #WN200368X;969.716
Facility complex #BQ400037J;6439.524
Plant #EG200780D;961.534
Plant #BF300126E;756.586
Plant #IB300022P;208.383
Plant #EP300306Z;1220.505
Module #QV100938J;86.793
Module #CR100434O;76.613
Plant #GT200137E;122.92
Module #AQ100869N;9.501
Plant #VE200625N;201.838
Facility complex #AL400026K;15552.533
Plant #TU200233Q;398.729
Module #DK100324U;73.689
Plant #TG300224C;609.147
Module #JE100023Q;90.07
Plant #HC200398Q;317.265
Unit #CZ001597J;6.116
Plant #IM200743S;742.752
Plant #NA200384D;609.764
Unit #RU000776C;4.167
Plant #AX200579L;214.436
Plant #TR200508B;602.37
Plant #LO200019X;552.339
Module #JS100977C;73.159
Plant #QY300073J;196.285
Plant #LM200654M;831.832
Module #TF101003R;87.527
Plant #SI200332B;198.0
Plant #YG200016N;76.565
Unit #KT001351Y;1.763
Plant #OM200796R;172.487
Plant #DM200260I;400.117
Plant #DR300032E;1036.733
Plant #WB300089X;338.556
Plant #FG200097L;348.893
Module #FJ101230Z;93.392
Module #KU100943A;91.674
Plant #WF300077X;1140.096
Plant #DZ200787L;929.657
Module #VK101104H;67.425
Plant #WE200278H;750.885
Plant #SP200261G;684.912
Module #UZ100289S;83.422
Plant #FN200803W;742.186
Plant #XL300182D;6068.503
Module #TS101083S;47.517
Plant #GS200212H;61.318
Module #KK101070S;90.568
Plant #KT300017I;992.149
Plant #RD300267R;6165.177
Unit #RK000021L;5.947
Module #CR100032Q;105.668
Unit #ON000304A;5.436
Plant #OJ300210D;3488.652
Plant #RP200334K;772.237
Module #IP100251D;89.299
Module #WJ100255G;83.588
Plant #PI300053M;886.39
Plant #CO200458S;518.55
Module #CP101033S;61.477
Module #QE100071X;48.939
Module #KS100800A;100.837
Plant #VB200582M;159.079
Plant #EN300104K;805.71
Plant #GR300112F;5279.043
Unit #JT000326N;3.86
Module #NN100140I;106.572
Unit #NY000804Z;9.41
Module #CB100229G;36.682
Facility complex #CO400022N;8404.36
Unit #OQ001468J;2.578
Module #HL100895V;89.628
Unit #JQ000939R;5.823
Plant #XP200307B;154.209
Unit #OU000531X;9.402
Plant #SY200241X;768.592
Plant #UT200590I;708.001
Plant #FG200281Y;897.877
Module #HA101164B;47.291
Plant #JT300048Y;4061.349
Plant #OK300094O;97.505
Module #PW100442O;52.716
Plant #PX200108X;308.414
Plant #KP300192B;2088.478
Plant #OA200661C;418.686
Module #EA100213Y;33.706
Module #WZ101136Q;49.82
Module #QP100803O;97.737
Plant #HQ300105A;7566.603
Module #SD100712J;75.32
Plant #VI200207D;184.478
Plant #OB300264Z;236.433
Module #QD100766D;91.36
Facility complex #JH400032G;1854.083
Plant #RA200059Q;361.307
Plant #OT200632J;913.17
Plant #ZK200472V;588.003
Module #KT100597O;85.2
Facility complex #GE400027Z;2896.232
Plant #DB200058M;253.525
Unit #NF000087U;7.309
Module #UT101175K;64.007
Unit #KQ000452P;3.114
Module #CH101080F;92.191
Module #ZB100017L;98.567
Module #OY100642T;103.476
Plant #LW300002H;398.314
Unit #OQ000606R;3.653
Module #BZ100336N;102.926
Plant #FC300030Q;2035.742
Plant #DT200039W;294.898
Module #YM100193S;86.187
Module #TD100435K;68.923
Plant #PZ200093H;579.708
Plant #LA200037S;806.675
Unit #HP001017N;1.119
Module #GL100562K;43.125
Module #YN100464H;73.116
Plant #XI200430Z;309.189
Unit #QP001557M;5.257
Module #AW101048J;104.238
Plant #DY200407V;91.958
Unit #MH001144U;2.165
Plant #VA200776I;582.076
Plant #ES300283H;1463.425
Module #IR100244R;54.616
Plant #PL200734Q;1003.075
Unit #KR001099E;2.034
Plant #RW200330A;777.258
Plant #LY300302B;7166.353
Plant #NH200747D;126.596
Plant #HS200801P;190.104
Module #DQ100706N;90.128
Plant #PQ200546E;958.509
Plant #AU200231W;862.899
Plant #RT300164B;144.034
Plant #ZO200201G;380.095
Plant #GL300056V;5365.964
Unit #RR000520I;2.201
Unit #GK000493G;1.519
Plant #YU200178J;1052.025
Module #NR100345Q;97.224
Module #UI100026O;87.433
Module #AP100693S;79.471
Plant #YL200257Y;241.925
Plant #OV200001A;663.087
Plant #NI300012Q;1595.147
Plant #ZH300115I;9184.998
Plant #OF200225I;100.573
Module #OE100294Y;65.719
Unit #IE000482S;3.249
Module #LU100920G;60.956
Plant #FS300006I;832.789
Unit #FD000504Z;6.346
Unit #IT001095U;6.313
Module #TU101227J;101.917
Facility complex #MS400043P;4926.621
Plant #RL300037C;1628.839
Plant #JG300183V;423.443
Plant #XU200414Y;665.875
Plant #YQ300315B;3894.586
Unit #XE000509R;6.209
Module #JI100557B;56.162
Module #WH100781J;97.111
Module #JF100956A;69.458
Module #OK100099L;81.67
Plant #CL200564E;506.774
Plant #YV200400W;268.941
Plant #EI300011T;1312.301
Plant #FK200314H;743.354
Plant #JA200502Q;376.042
Plant #TN200549M;62.075
Unit #VK001576D;5.114
Module #MN101181E;97.142
Facility complex #NS400044L;5784.357
Plant #ZU200100B;213.548
Plant #MF200401X;227.593
Module #JV100333T;62.435
Plant #PF200481W;101.013
Unit #TM000834K;4.867
Plant #JR200324I;89.032
Module #HY100942S;77.038
Module #NE100196T;68.242
Plant #MI300163F;700.023
Facility complex #PF400042K;1678.97
Plant #AF300000M;3914.45
Unit #AW001204H;4.453
Plant #ZX200580P;238.434
Unit #SQ001486Q;10.557
Module #TL100309I;67.742
Unit #XC000879C;1.066
Facility complex #UO400029A;4223.54
Module #PZ101172R;89.579
Plant #DI200237M;577.127
Plant #FL300134D;5048.303
Plant #HE200511Q;230.231
Module #BW100283X;105.164
Plant #DQ200575L;198.573
Unit #JL001239X;1.958
Plant #VT200381I;74.086
Unit #GJ001050J;7.405
Unit #WR001222P;3.848
Module #NF100252F;93.879
Plant #NA300232G;1695.25
Plant #IO200812M;471.488
Unit #AQ000847V;10.049
Plant #FN300249S;2416.091
Module #YB100450V;88.403
Module #CC100350N;102.184
Unit #BE000209Y;1.151
Plant #UN200118U;238.41
Unit #KQ000731I;7.533
Plant #IF200572P;859.185
Plant #UD300215N;609.518
Plant #SG200370G;976.463
Plant #AW300113V;2309.189
Module #UE100998N;89.647
Plant #SW300066D;770.567
Unit #OV000928K;6.331
Unit #XI000983W;5.89
Plant #RY200160B;336.523
Plant #DV300245L;1752.913
Plant #JA200383F;991.481
Plant #OH200541I;112.604
Module #BE101077N;102.202
Module #YF100771M;74.921
Plant #OD300178F;2710.139
Unit #VU001627S;1.327
Unit #ZE000185V;3.647
Plant #MP200219J;894.078
Module #RY100985D;94.3
Module #DL100588H;71.696
Plant #ZJ200514A;162.669
Module #SS100097G;100.298
Unit #BR000300M;4.267
Unit #DF001318N;6.796
Module #GO100197D;85.178
Module #BT100500G;85.528
Unit #DF001573H;6.35
Module #GT100181Z;11.291
Module #MW100326C;103.594
Module #KE100957E;38.846
Module #BX100264W;95.087
Module #TC101086Z;62.632
Module #WP101167C;56.426
Plant #YN200319M;636.004
Unit #CG000576J;1.119
Plant #EB200771D;491.082
Plant #MY200333N;209.637
Plant #YK300051M;1198.539
Plant #ZV200479B;1065.293
Module #VW100493A;97.647
Plant #FS200348Y;809.877
Plant #LU300229B;627.753
Plant #PV300320R;2492.548
Unit #EV001233G;4.579
Module #TO100401T;105.895
Module #UZ100655A;31.732
Plant #YF200641F;870.697
Plant #MX200079B;697.883
Module #PT100154K;87.796
Module #QW101176M;83.301
Module #YD100641Z;93.904
Plant #GX300036E;806.768
Plant #TG200475I;123.545
Module #EB101093J;73.236
Unit #DI001477M;5.021
Plant #JP300116I;3053.97
Module #EP100334Q;18.245
Plant #LF200234O;752.268
Module #LH100885W;89.795
Plant #CG300007Z;1008.015
Plant #LF200561U;46.204
Unit #PH000922J;2.315
Module #ZW100636P;12.486
Plant #YW300235X;6041.483
Module #KC100983B;100.334
Unit #SU000695M;5.69
Plant #OL200623K;685.74
Module #XN100223S;94.327
Plant #YK200113G;92.94
Unit #YR000568V;0.57
Unit #FS001501D;7.272
Plant #RT200131S;821.879
Module #GP100112E;93.227
Plant #GX200245C;208.08
Plant #QV300131Q;6932.272
Plant #LS200438R;74.977
Plant #ON200599F;189.503
Plant #LL200005Y;163.224
Plant #ET200492T;919.262
Unit #XP000857I;8.537
Plant #AT200193G;210.467
Plant #XH300096D;2826.901
Plant #LD200752R;797.124
Module #PR101148F;52.386
Unit #OR001029S;5.578
Module #XS100893F;96.772
Module #AE100708Q;100.522
Plant #ZV300111M;1647.732
Plant #YI200299M;65.314
Module #XL101045V;57.752
Module #QV101159T;63.934
Unit #HW001386W;4.066
Unit #KZ001277C;6.109
Unit #CV000757Q;7.547
Unit #QZ001634B;9.816
Plant #MD200125Z;334.233
Plant #WL300241H;1654.142
Unit #QI000251B;6.167
Plant #LI200563E;112.945
Module #MF100079U;82.921
Unit #HD000280F;6.531
Unit #IV000095J;7.627
Facility complex #VW400075R;9797.947
Unit #PR001556A;8.958
Module #DB100114L;104.528
Plant #KO300280K;202.916
Plant #IJ200509W;528.826
Module #VF101226D;44.305
Module #TX100457R;105.737
Unit #JE000799S;4.787
Module #SH100476X;90.4
Plant #FT300136P;854.97
Plant #YO300296V;2443.421
Plant #TM200265S;700.674
Module #AD101195V;89.847
Unit #YU001422U;2.939
Unit #YX000321I;7.938
Plant #GK300152O;3158.666
Module #HT100168Y;96.413
Facility complex #ZB400056Q;65661.933
Module #OQ100219B;83.267
Module #AH100267D;87.331
Plant #BR200567K;751.402
Module #TT100035I;96.16
Plant #CV300319C;820.706
Unit #AH000498S;4.778
Module #RY100833M;106.358
Module #LC100322C;97.274
Plant #CN200778Y;937.266
Unit #SL000084V;5.645
Unit #XE000945E;2.664
Unit #JK001513Y;4.495
Plant #NG200764C;983.768
Module #VZ100910N;71.026
Plant #IM200159N;818.483
Plant #JK200669G;574.248
Module #CR100687L;78.149
Module #XH101208C;90.513
Module #NR100421I;100.072
Unit #AQ001399Z;1.445
Module #SS100599N;86.827
Plant #EV300114I;1742.0
Module #WP101106L;87.946
Module #TP100596O;62.686
Plant #JC200350Y;282.887
Module #EQ100543E;106.756
Plant #CD200671O;597.868
Plant #DH200765F;602.046
Plant #CD200795Q;717.688
Unit #QU000372I;1.008
Plant #TO300193L;298.127
Facility complex #CQ400024W;1621.794
Plant #YB300196A;191.217
Plant #RP300213O;952.737
Plant #UR200054R;1075.301
Facility complex #WI400023I;9989.061
Plant #EW200759N;629.8
Plant #NP300151D;1223.908
Plant #RU200773F;756.128
Unit #PF000646G;8.025
Module #PP100928R;68.161
Module #LA100935O;15.83
Facility complex #LV400040J;4014.091
Plant #AD300016E;1355.181
